X,Y,AREA,TOTAL_NUMBER_OF_BAYS,BAYS,LONGITUDE,LATITUDE,OBJECTID
-692448.4939,7068218.855,SWORDS,3,1,-6.220370655,53.45826677,1
-692507.5478,7068036.252,SWORDS,,1,-6.220901146,53.45729008,2
-692527.9323,7068053.48,SWORDS,,1,-6.221084263,53.45738223,3
-692223.8853,7068736.749,SWORDS,,1,-6.218352962,53.46103671,4
-692257.9141,7068307.728,SWORDS,5,1,-6.218658648,53.45874212,5
-692256.7667,7068311.843,SWORDS,,1,-6.218648341,53.45876413,6
-692255.3721,7068316.662,SWORDS,,1,-6.218635813,53.4587899,7
-692142.2073,7068209.626,SWORDS,,1,-6.217619236,53.45821741,8
-692150.5544,7068214.934,SWORDS,,1,-6.217694219,53.4582458,9
-692725.8291,7071935.29,SWORDS,1,1,-6.222862,53.47814,10
-685409.2443,7066680.339,MALAHIDE,2,1,-6.157136,53.450037,11
-685394.9954,7066679.404,MALAHIDE,,1,-6.157008,53.450032,12
-684984.6717,7066511.171,MALAHIDE,4,1,-6.153322,53.449132,13
-684965.5248,7066372.476,MALAHIDE,,1,-6.15315,53.44839,14
-684966.638,7066387.429,MALAHIDE,,1,-6.15316,53.44847,15
-684986.6755,7066512.667,MALAHIDE,,1,-6.15334,53.44914,16
-684863.1108,7067095.889,MALAHIDE,1,1,-6.15223,53.45226,17
-685007.8262,7067083.364,MALAHIDE,1,1,-6.15353,53.452193,18
-684800.7719,7067019.245,MALAHIDE,2,1,-6.15167,53.45185,19
-684929.012,7066840.911,MALAHIDE,2,1,-6.152822,53.450896,20
-684918.7706,7066841.845,MALAHIDE,,1,-6.15273,53.450901,21
-685158.1075,7066961.295,MALAHIDE,3,1,-6.15488,53.45154,22
-685168.1262,7067042.238,MALAHIDE,,1,-6.15497,53.451973,23
-685170.3526,7066922.039,MALAHIDE,,1,-6.15499,53.45133,24
-684681.6601,7066189.296,MALAHIDE,3,1,-6.1506,53.44741,25
-684706.1504,7066185.558,MALAHIDE,,1,-6.15082,53.44739,26
-724639.7913,7066185.558,MALAHIDE,,1,-6.50955,53.44739,27
-685195.0656,7066909.328,MALAHIDE,1,1,-6.155212,53.451262,28
-679711.2872,7090656.447,BALBRIGGAN,3,1,-6.105950381,53.5781079,29
-679744.4604,7090702.679,BALBRIGGAN,,1,-6.106248381,53.57835448,30
-679748.107,7090720.974,BALBRIGGAN,,1,-6.106281139,53.57845206,31
-688134.5654,7096507.355,BALBRIGGAN,4,1,-6.181617976,53.60930241,32
-688140.2609,7096483.417,BALBRIGGAN,,1,-6.18166914,53.60917483,33
-688148.6929,7096440.471,BALBRIGGAN,,1,-6.181744886,53.60894594,34
-680354.0157,7091245.369,BALBRIGGAN,2,1,-6.111724109,53.58124882,35
-680264.3052,7091226.146,BALBRIGGAN,,1,-6.110918226,53.5811463,36
-680264.3052,7091226.146,BALBRIGGAN,1,1,-6.110918226,53.5811463,37
-680146.8762,7091221.812,BALBRIGGAN,1,1,-6.109863343,53.58112319,38
-688390.6055,7096582.996,BALBRIGGAN,4,1,-6.183918024,53.60970554,39
-688380.7896,7096606.566,BALBRIGGAN,,1,-6.183829846,53.60983116,40
-679850.6257,7090634.341,BALBRIGGAN,,1,-6.10720208,53.57799,41
-688827.0885,7096300.9,BALBRIGGAN,,1,-6.187839017,53.60820207,42
-688898.1766,7097181.776,BALBRIGGAN,6,1,-6.188477612,53.61289665,43
-688816.066,7097199.293,BALBRIGGAN,,1,-6.18774,53.61299,44
-688681.3694,7096945.973,BALBRIGGAN,,1,-6.18653,53.61164,45
-688480.9943,7096745.199,BALBRIGGAN,,1,-6.18473,53.61057,46
-688384.1463,7096643.875,BALBRIGGAN,,1,-6.18386,53.61003,47
-688367.4484,7096653.257,BALBRIGGAN,,1,-6.18371,53.61008,48
-689313.6641,7096469.377,BALBRIGGAN,3,1,-6.19221,53.6091,49
-689303.6453,7096473.13,BALBRIGGAN,,1,-6.19212,53.60912,50
-689266.9099,7096482.511,BALBRIGGAN,,1,-6.19179,53.60917,51
-688896.2798,7097076.139,BALBRIGGAN,1,1,-6.188460573,53.61233369,52
-679760.2254,7090851.835,SKERRIES,2,1,-6.10639,53.57915,53
-679770.3555,7090901.147,SKERRIES,,1,-6.106481,53.579413,54
-679719.0372,7090679.34,SKERRIES,9,1,-6.10602,53.57823,55
-679735.7351,7090679.34,SKERRIES,,1,-6.10617,53.57823,56
-679715.6976,7090604.343,SKERRIES,,1,-6.10599,53.57783,57
-679695.4374,7090593.281,SKERRIES,,1,-6.105808,53.577771,58
-679690.0941,7090523.722,SKERRIES,,1,-6.10576,53.5774,59
-679670.0566,7127321.448,SKERRIES,,1,-6.10558,53.77321,60
-679637.7739,7090405.604,SKERRIES,,1,-6.10529,53.57677,61
-679666.717,7090460.35,SKERRIES,,1,-6.10555,53.577062,62
-679644.4531,7090439.352,SKERRIES,,1,-6.10535,53.57695,63
-680355.1167,7091245.403,SKERRIES,3,1,-6.111734,53.581249,64
-680189.9186,7091221.214,SKERRIES,,1,-6.11025,53.58112,65
-681041.7354,7092085.665,SKERRIES,,1,-6.117902,53.58573,66
-680163.2019,7090986.835,SKERRIES,1,1,-6.11001,53.57987,67
-679971.7324,7091118.086,SKERRIES,1,1,-6.10829,53.58057,68
-679937.2234,7090752.462,SKERRIES,7,1,-6.10798,53.57862,69
-679933.2159,7090748.525,SKERRIES,,1,-6.107944,53.578599,70
-679931.6574,7090746.838,SKERRIES,,1,-6.10793,53.57859,71
-679927.2046,7090765.587,SKERRIES,,1,-6.10789,53.57869,72
-679859.2997,7090673.715,SKERRIES,,1,-6.10728,53.5782,73
-679840.2641,7090651.216,SKERRIES,,1,-6.107109,53.57808,74
-679835.2547,7090646.153,SKERRIES,,1,-6.107064,53.578053,75
-679883.79,7090977.46,SKERRIES,1,1,-6.1075,53.57982,76
-679903.8275,7090896.835,SKERRIES,1,1,-6.10768,53.57939,77
-680202.1638,7090761.837,SKERRIES,3,1,-6.11036,53.57867,78
-680203.7222,7090773.462,SKERRIES,,1,-6.110374,53.578732,79
-680075.2595,7090821.836,SKERRIES,,1,-6.10922,53.57899,80
-680388.0673,7090741.213,SKERRIES,2,1,-6.11203,53.57856,81
-680404.7652,7090769.337,SKERRIES,,1,-6.11218,53.57871,82
-680921.2877,7089845.038,SKERRIES,1,1,-6.11682,53.57378,83
-679892.6956,7091213.714,SKERRIES,1,1,-6.10758,53.58108,84
-678508.9943,7080235.336,RUSH,4,1,-6.09515,53.52249,85
-678256.2991,7080149.203,RUSH,,1,-6.09288,53.52203,86
-678154.9983,7080145.458,RUSH,,1,-6.09197,53.52201,87
-678144.9796,7080147.331,RUSH,,1,-6.09188,53.52202,88
-678536.8242,7080181.035,RUSH,2,1,-6.0954,53.5222,89
-678495.636,7080171.673,RUSH,,1,-6.09503,53.52215,90
-677992.1,7080089.708,RUSH,2,1,-6.090506659,53.52171226,91
-677846.3168,7080083.091,RUSH,,1,-6.089197067,53.52167692,92
-715068.5415,7054248.766,CLONSILLA,2,1,-6.42357,53.38348,93
-715078.5602,7054252.499,CLONSILLA,,1,-6.42366,53.3835,94
