ID,Time,Castleknock_Totem,Coast_Road_Totem,Morton_Stadium_Swords
1cc,0,125,444,621
2cc,1,49,242,353
3cc,2,21,197,218
4cc,3,26,93,545
5cc,4,25,179,1077
6cc,5,257,894,2720
7cc,6,1200,5133,5654
8cc,7,1442,14169,7664
9cc,8,1475,23301,6620
10cc,9,1159,24780,5374
11cc,10,1173,31771,4343
12cc,11,1177,35312,4167
13cc,12,1215,3675,4079
14cc,13,1403,33156,4472
15cc,14,1442,28699,4433
16cc,15,1389,29486,4563
17cc,16,1285,27157,5760
18cc,17,1333,26257,6428
19cc,18,1270,25731,6516
20cc,19,973,20388,3724
21cc,20,841,12760,2788
22cc,21,524,6129,2192
23cc,22,325,2525,1711
24cc,23,259,1058,1164
