ArtistName,CountryOfOrigin,TitleOfTopWork,DateProduced
U2,Ireland,Pride,1984
LeonardoDaVinci,Italy,Mona Lisa,1503
MichaelBuble,Canada,Always on My Mind,2007
Taika Waititi,New Zealand,Hunt for the Wilderpeople,2016
Weiwei Tan,China,3811,2021
Jay chou,China,Jay,2000
Jay chou,China,FANTASY,2001
Jay chou,China,November's Chopin,2005
JJ Lin,Singaporean,She Says,2010
JJ Lin,Singaporean,100 Days,2009
Michael Jackson,American,Off the wall,1979
Michael Jackson,American,Bad,1987
Taylor Swift,American,Lover,2019
Taylor Swift,American,Midnights,2022
Taylor Swift,American,Fearless,2008
Eason Chan,China,My Happy Time,1998
Eason Chan,China,Admit It,2007
Stefanie Sun,Singaporean,Leave,2002
Stefanie Sun,Singaporean,Kite,2001
